Date,Open,High,Low,Close,Adj Close,Volume
2016-02-22,599.419983,599.419983,599.419983,599.419983,599.419983,0
2016-02-23,591.969971,591.969971,591.969971,591.969971,591.969971,0
2016-02-24,582.520020,582.520020,582.520020,582.520020,582.520020,0
2016-02-25,597.630005,597.630005,597.630005,597.630005,597.630005,0
2016-02-26,605.919983,605.919983,605.919983,605.919983,605.919983,0
2016-02-29,605.969971,605.969971,605.969971,605.969971,605.969971,0
2016-03-01,611.539978,611.539978,611.539978,611.539978,611.539978,0
2016-03-02,610.950012,610.950012,610.950012,610.950012,610.950012,0
2016-03-03,610.429993,610.429993,610.429993,610.429993,610.429993,0
2016-03-04,617.289978,617.289978,617.289978,617.289978,617.289978,0
2016-03-07,615.619995,615.619995,615.619995,615.619995,615.619995,0
2016-03-08,609.950012,609.950012,609.950012,609.950012,609.950012,0
2016-03-09,612.039978,612.039978,612.039978,612.039978,612.039978,0
2016-03-10,596.940002,596.940002,596.940002,596.940002,596.940002,0
2016-03-11,607.099976,607.099976,607.099976,607.099976,607.099976,0
2016-03-14,610.549988,610.549988,610.549988,610.549988,610.549988,0
2016-03-15,607.159973,607.159973,607.159973,607.159973,607.159973,0
2016-03-16,610.679993,610.679993,610.679993,610.679993,610.679993,0
2016-03-17,613.940002,613.940002,613.940002,613.940002,613.940002,0
2016-03-18,612.830017,612.830017,612.830017,612.830017,612.830017,0
2016-03-21,612.320007,612.320007,612.320007,612.320007,612.320007,0
2016-03-22,613.150024,613.150024,613.150024,613.150024,613.150024,0
2016-03-23,613.789978,613.789978,613.789978,613.789978,613.789978,0
2016-03-24,604.960022,604.960022,604.960022,604.960022,604.960022,0
2016-03-29,604.859985,604.859985,604.859985,604.859985,604.859985,0
2016-03-30,614.489990,614.489990,614.489990,614.489990,614.489990,0
2016-03-31,611.900024,611.900024,611.900024,611.900024,611.900024,0
2016-04-01,609.059998,609.059998,609.059998,609.059998,609.059998,0
2016-04-04,610.890015,610.890015,610.890015,610.890015,610.890015,0
2016-04-05,603.630005,603.630005,603.630005,603.630005,603.630005,0
2016-04-06,610.599976,610.599976,610.599976,610.599976,610.599976,0
2016-04-07,608.950012,608.950012,608.950012,608.950012,608.950012,0
2016-04-08,615.650024,615.650024,615.650024,615.650024,615.650024,0
2016-04-11,615.229980,615.229980,615.229980,615.229980,615.229980,0
2016-04-12,619.409973,619.409973,619.409973,619.409973,619.409973,0
2016-04-13,631.349976,631.349976,631.349976,631.349976,631.349976,0
2016-04-14,631.919983,631.919983,631.919983,631.919983,631.919983,0
2016-04-15,629.799988,629.799988,629.799988,629.799988,629.799988,0
2016-04-18,630.760010,630.760010,630.760010,630.760010,630.760010,0
2016-04-19,635.909973,635.909973,635.909973,635.909973,635.909973,0
